qid,lang,description
Q102083,he,"לוחם ופרש בן האצולה באירופה, בעיקר בימי הביניים"
Q102083,lv,Dižciltīgs karavīrs viduslaiku Eiropā
Q102083,hy,Ասպետ
Q102083,da,"oprindeligt en kriger til hest, senere en adelstitel"
Q102083,cs,"osoba, které byl udělen titul rytíře hlavou státu nebo jejím zástupcem"
Q102083,pt,pessoa condecorada com um título honorífico por um monarca ou outro líder político
Q102083,vi,người được nguyên thủ quốc gia phong danh hiệu hiệp sĩ danh dự để phục vụ quốc vương hoặc nhà thờ trong tư cách quân nhân
Q102083,el,πρόσωπο που του παραχωρήθηκε τιμητικός τίτλος από μονάρχη ή άλλο πολιτικό ηγέτη
Q102083,hu,nemesi cím
Q102083,fi,keskiaikainen raskasaseinen ratsuväkisotilas
Q102083,ko,교회나 주에 봉사한 공로로 수여되는 명예 칭호
Q102083,ro,titlu onorific acordat pentru servicii aduse unei biserici sau unui stat
Q102083,mt,peruna b'titlu onorarju mingħand monarka jew mexxej politiku
Q102083,uk,середньовічний шляхетський титул в Європі
Q102083,th,บุคคลผู้ได้รับตำแหน่งยกย่องจากพระมหากษัตริย์หรือผู้นำทางการเมืองอื่น
Q101539,de,Berufsbezeichnung für Servicekräfte in einem Verkehrsflugzeug
Q101539,en,position in an aircrew
Q101539,it,personale addetto ai servizi complementari di bordo
Q101539,es,miembro de la tripulación
Q101539,nl,personeelslid van een vliegtuigbemanning
Q101539,fr,membre d'un équipage aérien
Q101539,cs,člen posádky letadla
Q101539,ro,membru al echipajului unei aeronave
Q101539,ar,عضو في طاقم الطائرة
Q101539,ru,специалист рядового состава на воздушных судах
Q101539,ko,"항공기에 탑승하여 화물 운송, 운항 보조, 승객 접대 등의 사무를 담당하는 사람"
Q101539,az,təyyarə və gəmilərdə sərnişinlərə qulluq etmək üçün ekipajın sıravi üzvü
Q101539,id,anggota kru udara
Q101539,sl,Članica letalske posadke
Q101539,tr,Kabin Memuru/Amiri
Q101539,fi,lentokoneen matkustamohenkilökunnan jäsen
Q101539,vi,thành viên phi hành đoàn trên máy bay
Q101539,pl,osoba pracująca w samolotach i na statkach
Q101539,he,איש צוות אוויר בחברת תעופה
Q101539,zh,职业
Q101539,uk,"фахівець рядового складу на водних, залізничних і повітряних транспортах, що виконує обслуговування пасажирів"
Q101539,ja,交通機関で客室内の保安業務や接客等を担う乗務員
Q101539,bn,বিমানে যাত্রীদের দেখাশোনাকারী ও এয়ারক্রু সদস্য
Q170790,es,persona dedicada a las matemáticas
Q170790,it,professione
Q170790,en,person with an extensive knowledge of mathematics
Q170790,fr,chercheur ou chercheuse en mathématiques
